Loading EasyOCR; transcript_count=10
OCR 7654536155693649202 8/182
OCR 7654536155693649202 16/182
OCR 7654536155693649202 24/182
OCR 7654536155693649202 32/182
OCR 7654536155693649202 40/182
OCR 7654536155693649202 48/182
OCR 7654536155693649202 56/182
OCR 7654536155693649202 64/182
OCR 7654536155693649202 72/182
OCR 7654536155693649202 80/182
OCR 7654536155693649202 88/182
OCR 7654536155693649202 96/182
OCR 7654536155693649202 104/182
OCR 7654536155693649202 112/182
OCR 7654536155693649202 120/182
OCR 7654536155693649202 128/182
OCR 7654536155693649202 136/182
OCR 7654536155693649202 144/182
OCR 7654536155693649202 152/182
OCR 7654536155693649202 160/182
OCR 7654536155693649202 168/182
OCR 7654536155693649202 176/182
OCR 7654536155693649202 182/182
DONE 1/10 7654536155693649202
OCR 7654924170920283407 8/234
OCR 7654924170920283407 16/234
OCR 7654924170920283407 24/234
OCR 7654924170920283407 32/234
OCR 7654924170920283407 40/234
OCR 7654924170920283407 48/234
OCR 7654924170920283407 56/234
OCR 7654924170920283407 64/234
OCR 7654924170920283407 72/234
OCR 7654924170920283407 80/234
OCR 7654924170920283407 88/234
OCR 7654924170920283407 96/234
OCR 7654924170920283407 104/234
OCR 7654924170920283407 112/234
OCR 7654924170920283407 120/234
OCR 7654924170920283407 128/234
OCR 7654924170920283407 136/234
OCR 7654924170920283407 144/234
OCR 7654924170920283407 152/234
OCR 7654924170920283407 160/234
OCR 7654924170920283407 168/234
OCR 7654924170920283407 176/234
OCR 7654924170920283407 184/234
OCR 7654924170920283407 192/234
OCR 7654924170920283407 200/234
OCR 7654924170920283407 208/234
OCR 7654924170920283407 216/234
OCR 7654924170920283407 224/234
OCR 7654924170920283407 232/234
OCR 7654924170920283407 234/234
DONE 2/10 7654924170920283407
OCR 7655286121772993844 8/175
OCR 7655286121772993844 16/175
OCR 7655286121772993844 24/175
OCR 7655286121772993844 32/175
OCR 7655286121772993844 40/175
OCR 7655286121772993844 48/175
OCR 7655286121772993844 56/175
OCR 7655286121772993844 64/175
