Loading EasyOCR; transcript_count=1
OCR 7661179181669092642 8/210
OCR 7661179181669092642 16/210
OCR 7661179181669092642 24/210
OCR 7661179181669092642 32/210
OCR 7661179181669092642 40/210
OCR 7661179181669092642 48/210
OCR 7661179181669092642 56/210
OCR 7661179181669092642 64/210
OCR 7661179181669092642 72/210
OCR 7661179181669092642 80/210
OCR 7661179181669092642 88/210
OCR 7661179181669092642 96/210
OCR 7661179181669092642 104/210
OCR 7661179181669092642 112/210
OCR 7661179181669092642 120/210
OCR 7661179181669092642 128/210
OCR 7661179181669092642 136/210
OCR 7661179181669092642 144/210
OCR 7661179181669092642 152/210
OCR 7661179181669092642 160/210
OCR 7661179181669092642 168/210
OCR 7661179181669092642 176/210
OCR 7661179181669092642 184/210
OCR 7661179181669092642 192/210
OCR 7661179181669092642 200/210
OCR 7661179181669092642 208/210
OCR 7661179181669092642 210/210
DONE 1/1 7661179181669092642
