Loading EasyOCR; transcript_count=1
OCR 7660896909606849807 8/267
OCR 7660896909606849807 16/267
OCR 7660896909606849807 24/267
OCR 7660896909606849807 32/267
OCR 7660896909606849807 40/267
OCR 7660896909606849807 48/267
OCR 7660896909606849807 56/267
OCR 7660896909606849807 64/267
OCR 7660896909606849807 72/267
OCR 7660896909606849807 80/267
OCR 7660896909606849807 88/267
OCR 7660896909606849807 96/267
OCR 7660896909606849807 104/267
OCR 7660896909606849807 112/267
OCR 7660896909606849807 120/267
OCR 7660896909606849807 128/267
OCR 7660896909606849807 136/267
OCR 7660896909606849807 144/267
OCR 7660896909606849807 152/267
OCR 7660896909606849807 160/267
OCR 7660896909606849807 168/267
OCR 7660896909606849807 176/267
OCR 7660896909606849807 184/267
OCR 7660896909606849807 192/267
OCR 7660896909606849807 200/267
OCR 7660896909606849807 208/267
OCR 7660896909606849807 216/267
OCR 7660896909606849807 224/267
OCR 7660896909606849807 232/267
OCR 7660896909606849807 240/267
OCR 7660896909606849807 248/267
OCR 7660896909606849807 256/267
OCR 7660896909606849807 264/267
OCR 7660896909606849807 267/267
DONE 1/1 7660896909606849807
