Loading EasyOCR; transcript_count=9
OCR 7648992848871722259 8/221
OCR 7648992848871722259 16/221
OCR 7648992848871722259 24/221
OCR 7648992848871722259 32/221
OCR 7648992848871722259 40/221
OCR 7648992848871722259 48/221
OCR 7648992848871722259 56/221
OCR 7648992848871722259 64/221
OCR 7648992848871722259 72/221
OCR 7648992848871722259 80/221
OCR 7648992848871722259 88/221
OCR 7648992848871722259 96/221
OCR 7648992848871722259 104/221
OCR 7648992848871722259 112/221
OCR 7648992848871722259 120/221
OCR 7648992848871722259 128/221
OCR 7648992848871722259 136/221
OCR 7648992848871722259 144/221
OCR 7648992848871722259 152/221
OCR 7648992848871722259 160/221
OCR 7648992848871722259 168/221
OCR 7648992848871722259 176/221
OCR 7648992848871722259 184/221
OCR 7648992848871722259 192/221
OCR 7648992848871722259 200/221
OCR 7648992848871722259 208/221
OCR 7648992848871722259 216/221
OCR 7648992848871722259 221/221
DONE 1/9 7648992848871722259
OCR 7649314280830979391 8/197
OCR 7649314280830979391 16/197
OCR 7649314280830979391 24/197
OCR 7649314280830979391 32/197
OCR 7649314280830979391 40/197
OCR 7649314280830979391 48/197
OCR 7649314280830979391 56/197
OCR 7649314280830979391 64/197
OCR 7649314280830979391 72/197
OCR 7649314280830979391 80/197
OCR 7649314280830979391 88/197
OCR 7649314280830979391 96/197
OCR 7649314280830979391 104/197
OCR 7649314280830979391 112/197
OCR 7649314280830979391 120/197
OCR 7649314280830979391 128/197
OCR 7649314280830979391 136/197
OCR 7649314280830979391 144/197
OCR 7649314280830979391 152/197
OCR 7649314280830979391 160/197
OCR 7649314280830979391 168/197
OCR 7649314280830979391 176/197
OCR 7649314280830979391 184/197
OCR 7649314280830979391 192/197
OCR 7649314280830979391 197/197
DONE 2/9 7649314280830979391
OCR 7649729653048888612 8/184
OCR 7649729653048888612 16/184
OCR 7649729653048888612 24/184
OCR 7649729653048888612 32/184
OCR 7649729653048888612 40/184
OCR 7649729653048888612 48/184
OCR 7649729653048888612 56/184
OCR 7649729653048888612 64/184
OCR 7649729653048888612 72/184
OCR 7649729653048888612 80/184
OCR 7649729653048888612 88/184
OCR 7649729653048888612 96/184
OCR 7649729653048888612 104/184
OCR 7649729653048888612 112/184
OCR 7649729653048888612 120/184
OCR 7649729653048888612 128/184
OCR 7649729653048888612 136/184
OCR 7649729653048888612 144/184
OCR 7649729653048888612 152/184
OCR 7649729653048888612 160/184
OCR 7649729653048888612 168/184
OCR 7649729653048888612 176/184
OCR 7649729653048888612 184/184
DONE 3/9 7649729653048888612
OCR 7650089773134138650 8/248
OCR 7650089773134138650 16/248
OCR 7650089773134138650 24/248
OCR 7650089773134138650 32/248
OCR 7650089773134138650 40/248
OCR 7650089773134138650 48/248
OCR 7650089773134138650 56/248
OCR 7650089773134138650 64/248
OCR 7650089773134138650 72/248
OCR 7650089773134138650 80/248
OCR 7650089773134138650 88/248
OCR 7650089773134138650 96/248
OCR 7650089773134138650 104/248
OCR 7650089773134138650 112/248
OCR 7650089773134138650 120/248
OCR 7650089773134138650 128/248
OCR 7650089773134138650 136/248
OCR 7650089773134138650 144/248
OCR 7650089773134138650 152/248
OCR 7650089773134138650 160/248
OCR 7650089773134138650 168/248
OCR 7650089773134138650 176/248
OCR 7650089773134138650 184/248
OCR 7650089773134138650 192/248
OCR 7650089773134138650 200/248
OCR 7650089773134138650 208/248
OCR 7650089773134138650 216/248
OCR 7650089773134138650 224/248
OCR 7650089773134138650 232/248
OCR 7650089773134138650 240/248
OCR 7650089773134138650 248/248
DONE 4/9 7650089773134138650
OCR 7650451125698710811 8/219
OCR 7650451125698710811 16/219
OCR 7650451125698710811 24/219
OCR 7650451125698710811 32/219
OCR 7650451125698710811 40/219
OCR 7650451125698710811 48/219
OCR 7650451125698710811 56/219
OCR 7650451125698710811 64/219
OCR 7650451125698710811 72/219
OCR 7650451125698710811 80/219
OCR 7650451125698710811 88/219
OCR 7650451125698710811 96/219
OCR 7650451125698710811 104/219
OCR 7650451125698710811 112/219
OCR 7650451125698710811 120/219
OCR 7650451125698710811 128/219
OCR 7650451125698710811 136/219
OCR 7650451125698710811 144/219
OCR 7650451125698710811 152/219
OCR 7650451125698710811 160/219
OCR 7650451125698710811 168/219
OCR 7650451125698710811 176/219
OCR 7650451125698710811 184/219
OCR 7650451125698710811 192/219
OCR 7650451125698710811 200/219
OCR 7650451125698710811 208/219
OCR 7650451125698710811 216/219
OCR 7650451125698710811 219/219
DONE 5/9 7650451125698710811
OCR 7650820361054883106 8/241
OCR 7650820361054883106 16/241
OCR 7650820361054883106 24/241
OCR 7650820361054883106 32/241
OCR 7650820361054883106 40/241
OCR 7650820361054883106 48/241
OCR 7650820361054883106 56/241
OCR 7650820361054883106 64/241
OCR 7650820361054883106 72/241
OCR 7650820361054883106 80/241
OCR 7650820361054883106 88/241
OCR 7650820361054883106 96/241
OCR 7650820361054883106 104/241
OCR 7650820361054883106 112/241
OCR 7650820361054883106 120/241
OCR 7650820361054883106 128/241
OCR 7650820361054883106 136/241
OCR 7650820361054883106 144/241
OCR 7650820361054883106 152/241
OCR 7650820361054883106 160/241
OCR 7650820361054883106 168/241
OCR 7650820361054883106 176/241
OCR 7650820361054883106 184/241
OCR 7650820361054883106 192/241
OCR 7650820361054883106 200/241
OCR 7650820361054883106 208/241
OCR 7650820361054883106 216/241
OCR 7650820361054883106 224/241
OCR 7650820361054883106 232/241
OCR 7650820361054883106 240/241
OCR 7650820361054883106 241/241
DONE 6/9 7650820361054883106
OCR 7651189369163894043 8/205
OCR 7651189369163894043 16/205
OCR 7651189369163894043 24/205
OCR 7651189369163894043 32/205
OCR 7651189369163894043 40/205
OCR 7651189369163894043 48/205
OCR 7651189369163894043 56/205
OCR 7651189369163894043 64/205
OCR 7651189369163894043 72/205
OCR 7651189369163894043 80/205
OCR 7651189369163894043 88/205
OCR 7651189369163894043 96/205
OCR 7651189369163894043 104/205
OCR 7651189369163894043 112/205
OCR 7651189369163894043 120/205
OCR 7651189369163894043 128/205
OCR 7651189369163894043 136/205
OCR 7651189369163894043 144/205
OCR 7651189369163894043 152/205
OCR 7651189369163894043 160/205
OCR 7651189369163894043 168/205
OCR 7651189369163894043 176/205
OCR 7651189369163894043 184/205
OCR 7651189369163894043 192/205
OCR 7651189369163894043 200/205
OCR 7651189369163894043 205/205
DONE 7/9 7651189369163894043
OCR 7651567388554431763 8/227
OCR 7651567388554431763 16/227
OCR 7651567388554431763 24/227
OCR 7651567388554431763 32/227
OCR 7651567388554431763 40/227
OCR 7651567388554431763 48/227
OCR 7651567388554431763 56/227
OCR 7651567388554431763 64/227
OCR 7651567388554431763 72/227
OCR 7651567388554431763 80/227
OCR 7651567388554431763 88/227
OCR 7651567388554431763 96/227
OCR 7651567388554431763 104/227
OCR 7651567388554431763 112/227
OCR 7651567388554431763 120/227
OCR 7651567388554431763 128/227
OCR 7651567388554431763 136/227
OCR 7651567388554431763 144/227
OCR 7651567388554431763 152/227
OCR 7651567388554431763 160/227
OCR 7651567388554431763 168/227
OCR 7651567388554431763 176/227
OCR 7651567388554431763 184/227
OCR 7651567388554431763 192/227
OCR 7651567388554431763 200/227
OCR 7651567388554431763 208/227
OCR 7651567388554431763 216/227
OCR 7651567388554431763 224/227
OCR 7651567388554431763 227/227
DONE 8/9 7651567388554431763
OCR 7652000331357883682 8/210
OCR 7652000331357883682 16/210
OCR 7652000331357883682 24/210
OCR 7652000331357883682 32/210
OCR 7652000331357883682 40/210
OCR 7652000331357883682 48/210
OCR 7652000331357883682 56/210
OCR 7652000331357883682 64/210
OCR 7652000331357883682 72/210
OCR 7652000331357883682 80/210
OCR 7652000331357883682 88/210
OCR 7652000331357883682 96/210
OCR 7652000331357883682 104/210
OCR 7652000331357883682 112/210
OCR 7652000331357883682 120/210
OCR 7652000331357883682 128/210
OCR 7652000331357883682 136/210
OCR 7652000331357883682 144/210
OCR 7652000331357883682 152/210
OCR 7652000331357883682 160/210
OCR 7652000331357883682 168/210
OCR 7652000331357883682 176/210
OCR 7652000331357883682 184/210
OCR 7652000331357883682 192/210
OCR 7652000331357883682 200/210
OCR 7652000331357883682 208/210
OCR 7652000331357883682 210/210
DONE 9/9 7652000331357883682
